code	name	city	country	latlng	yaid
IST	Ататюрк	Стамбул	tr	40.9850070949,28.8250200078	9600421
SAW	Сабиха Гёкчен	Стамбул	tr	40.898611,29.309167	9600420
AYT	Анталья	Анталья	tr	36.8989969526,30.801497344	9623581
GZP	Газипаша	Газипаша	tr	36.2980555556,32.2902777778	9655797
ESB	Эсенбога	Анкара	tr	40.128056,32.995	9600434
DLM	Даламан	Даламан	tr	36.713056,28.7925	9623966
ADB	Аднан Мендерес	Измир	tr	38.2925,27.156944	9628729
ESL	Элиста	Элиста	ru	46.373889,44.330833	9623332
PES	Бесовец	Петрозаводск	ru	61.885278,34.154722	9600386
SKX	Саранск	Саранск	ru	54.1358768902,45.2196459286	9623339
OGZ	Беслан	Владикавказ	ru	43.0750817498,44.7067801383	9623319
ABA	Абакан	Абакан	ru	53.74,91.385	9623351
TOF	Богашево	Томск	ru	56.3844532112,85.2136875317	9623057
SWT	Стрежевой	Стрежевой	ru	60.5,77.0	9623577
EYK	Белоярский	Белоярский	ru	63.7158997498,66.4264357239	9623622
EZV	Берёзово	Берёзово	ru	63.9207885931,65.0392572622	9623833
IRM	Игрим	Игрим	ru	63.1864263321,64.4008605224	9623620
KGP	Когалым	Когалым	ru	62.190556,74.533889	9623624
NJC	Нижневартовск	Нижневартовск	ru	60.949167,76.483611	9623539
NYA	Нягань	Нягань	ru	62.1034624568,65.6136126257	9623621
SGC	Сургут	Сургут	ru	61.343611,73.401944	9623563
URJ	Урай	Урай	ru	60.116667,64.833333	9623623
HMA	Ханты-Мансийск	Ханты-Мансийск	ru	61.0259512982,69.0965805575	9623574
ROV	Ростов-на-Дону	Ростов-на-Дону	ru	47.2527545151,39.7969750709	9623415
	Аян	Аян	ru	56.430538,138.043577	9624039
BQG	Богородское	Богородское	ru	52.3783333333,140.448333333	9667052
KXK	Комсомольск-на-Амуре	Комсомольск-на-Амуре	ru	50.4,136.95	9623804
GVN	Май-Гатка	Советская Гавань	ru	48.9416623271,140.278248712	9623639
	Нелькан	Нелькан	ru	57.647699,136.164839	9806394
	Николаевск-на-Амуре	Николаевск-на-Амуре	ru	53.1528080827,140.648039129	9623661
OHO	Охотск	Охотск	ru	59.410556,143.056389	9623637
KHV	Хабаровск	Хабаровск	ru	48.5233850054,135.170650645	9600394
	Хабаровск, Малый аэропорт	Хабаровск	ru	48.520062,135.155567	9806178
	Херпучи		ru	52.97776,138.82338	9624040
	Чумикан	Чумикан	ru	54.711271,135.306093	9624038
BVV	Буревестник	Курильск	ru	44.9263012391,147.612101734	9623660
DEE	Менделеево	Южно-Курильск	ru	44.0305555556,145.855555556	9635508
NGK	Ноглики	Ноглики	ru	51.809368469,143.16253952	9635510
OHH	Оха	Оха	ru	53.5843183012,142.943081096	9623638
EKS	Шахтерск	Шахтерск	ru	49.1903123549,142.082149442	9623640
UUS	Южно-Сахалинск	Южно-Сахалинск	ru	46.888611,142.7175	9623425
IAR	Туношна	Ярославль	ru	57.5569629851,40.155202467	9623447
MRV	Минеральные Воды	Минеральные Воды	ru	44.225,43.081944	9623558
STW	Шпаковское	Ставрополь	ru	45.096642,42.100031	9623299
VIN	Винница	Винница	ua	49.2414261109,28.6055559004	9626390
TJM	Рощино	Тюмень	ru	57.1804023897,65.3602158892	9600384
OVS	Советский	Советский	ru	61.318056,63.608333	9632361
UDJ	Ужгород	Ужгород	ua	48.634167,22.263333	9623634
OSF	Остафьево	Москва	ru	55.5031544592,37.5105704453	9600217
ULV	Центральный	Ульяновск	ru	54.273719,48.237321	9600399
CEK	Баландино	Челябинск	ru	55.299518,61.514076	9623444
MQF	Магнитогорск	Магнитогорск	ru	53.393056,58.755556	9623625
OVB	Толмачёво	Новосибирск	ru	55.0125,82.650556	9600374
	Азовы	Азовы	ru	64.8963998085,65.0466234475	9623980
	Антипаюта	Антипаюта	ru	69.0921373782,76.8425092411	9635608
	Восяхово	Восяхово	ru	65.573986004,64.5788347465	9623960
	Горки	Горки	ru	65.0650415396,65.2940296692	9623841
	Гыда	Гыда	ru	70.8919786915,78.5080576431	9635609
	Казым-Мыс	Казым-Мыс	ru	64.6715409762,65.637185497	9623931
KKQ	Красноселькуп	Красноселькуп	ru	65.7126481401,82.458336223	9623677
	Кутопьюган	Кутопьюган	ru	66.3290898982,70.3810352003	9623983
	Лопхари	Лопхари	ru	64.9878224217,65.7641214985	9623894
	Мужи	Мужи	ru	56.8961354847,27.9768976466	9623673
YMK	Мыс Каменный	Мыс Каменный	ru	68.4990367239,73.5552546568	9623672
NYM	Надым	Надым	ru	65.468056,72.699167	9623567
	Находка	Находка	ru	67.7267167381,77.5230719335	9635607
	Новый Порт	Новый Порт	ru	67.6948012214,72.9021660283	9623671
NUX	Новый Уренгой	Новый Уренгой	ru	66.083333,76.516667	9623560
	Нори	Нори	ru	66.1511752798,72.4191868158	9623982
NOJ	Ноябрьск	Ноябрьск	ru	63.5,75.0	9623575
	Ныда	Ныда	ru	66.6245102699,72.9358798009	9623981
	Овгорт	Овгорт	ru	64.8344094759,63.9727504074	9623674
	Панаевск	Панаевск	ru	66.7446017094,70.0962470003	9623807
	Питляр	Питляр	ru	65.8423291451,65.9251783355	9623840
	Салемал	Салемал	ru	66.7572568995,69.1573934396	9623806
SLY	Салехард	Салехард	ru	66.590833,66.611111	9623576
	Сеяха	Сеяха	ru	70.1648443156,72.5156748667	9623842
	Тазовский	Тазовский	ru	67.4798796107,78.7091095868	9623808
TQL	Тарко-Сале	Тарко-Сале	ru	64.9174127057,77.7538321306	9623675
	Толька	Толька	ru	63.3972001389,80.0923803771	9623676
	Шурышкары	Шурышкары	ru	65.9081479373,65.3390071062	9623959
	Ямбург	Ямбург	ru	67.9851731055,75.0994542825	9624042
	Яр-Сале	Яр-Сале	ru	66.8581866759,70.8220990216	9623670
UKS	Севастополь	Севастополь	ua	44.691667,33.575833	9627771
OZH	Запорожье	Запорожье	ua	47.866944,35.315556	9623636
VSG	Луганск	Луганск	ua	48.4175,39.374167	9623629
PEE	Большое Савино	Пермь	ru	57.918551,56.022062	9600381
HRK	Харьков	Харьков	ua	49.924722,36.29	9623474
	Багдарин	Багдарин	ru	54.450624,113.600975	9805888
UUD	Байкал	Улан-Удэ	ru	51.804878,107.443357	9623324
	Нижнеангарск	Нижнеангарск	ru	55.801168,109.599006	9623666
	Таксимо	Таксимо	ru	56.362413,114.935935	9623667
CWC	Черновцы	Черновцы	ua	48.259444,25.980833	9623635
ADH	Алдан	Алдан	ru	58.6,125.4	9624057
BQJ	Батагай	Батагай	ru	67.6586799159,134.67632571	9623680
	Белая Гора	Белая Гора	ru	68.556416247,146.232001044	9623693
VHV	Верхневилюйск	Верхневилюйск	ru	63.4586351841,120.257891325	9624041
VYI	Вилюйск	Вилюйск	ru	63.7558484645,121.699978322	9623814
DPT	Депутатский	Депутатский	ru	69.389849901,139.868372457	9623683
ZIX	Жиганск	Жиганск	ru	66.7678433031,123.373623991	9623695
	Зырянка	Зырянка	ru	65.7412400933,150.893476367	9623810
ULK	Ленск	Ленск	ru	60.7217447702,114.831561921	9623648
GYG	Маган	Якутск	ru	62.092595249,129.771245781	9633963
MJZ	Мирный	Мирный	ru	62.534722,114.038889	9623628
	Мома	Хонуу	ru	65.9138814692,144.900672	9623682
NYR	Нюрба	Нюрба	ru	63.2825363271,118.337955969	9623851
	Оймякон	Оймякон	ru	63.4546371009,142.796436238	9634272
OLZ	Олёкминск	Олёкминск	ru	60.3992807796,120.470640792	9623850
ONK	Оленёк	Оленек	ru	68.5129631626,112.47927253	9623811
PYJ	Полярный	Полярный	ru	66.3970699048,112.034560796	9623649
	Саккырыр	Саккырыр	ru	62.8654818889,137.386634514	9623813
	Саскылах	Саскылах	ru	71.9262994195,114.076229328	9623803
	Среднеколымск	Среднеколымск	ru	67.4653920111,153.718499986	9623844
	Сунтар	Сунтар	ru	62.1578708622,117.63947092	9623852
	Талакан		ru	60.299633602,110.061663464	9776579
IKS	Тикси	Тикси	ru	71.695,128.903056	9623684
UKG	Усть-Куйга	Усть-Куйга	ru	70.0088900243,135.637671748	9623845
USR	Усть-Нера	Усть-Нера	ru	64.5600558128,143.218396764	9623694
CYX	Черский	Черский	ru	68.741667,161.3375	9623681
CKH	Чокурдах	Чокурдах	ru	70.6252833704,147.899463829	9623679
NER	Чульман	Нерюнгри	ru	56.9093379965,124.90624398	9623696
YKS	Якутск	Якутск	ru	62.093333,129.770556	9600424
CSY	Чебоксары	Чебоксары	ru	56.090278,47.347222	9623358
RTW	Саратов	Саратов	ru	51.5583129881,46.0313073546	9623049
TBW	Донское	Тамбов	ru	52.7847773515,41.4914941407	9623432
SZI	Зайсан	Зайсан	kz	47.05,84.116667	9631727
PLX	Семипалатинск	Семипалатинск	kz	50.351389,80.234444	9623654
UZR	Урджар	Урджар	kz	46.9987055783,81.5961960953	9633377
UKK	Усть-Каменогорск	Усть-Каменогорск	kz	50.036667,82.493611	9623902
	Байконур	Байконур	kz	46.0515652541,63.2488427125	9623796
KZO	Кзылорда	Кызылорда	kz	45.516667,65.833333	9631237
IJK	Ижевск	Ижевск	ru	56.83098,53.448471	9623354
KSN	Наримановка	Кустанай	kz	53.206944,63.550278	9623914
	Айон	Айон	ru	69.9320631644,167.980290418	9800976
	Анюйск	Анюйск	ru	68.3447763475,161.574805316	9800978
	Беринговский	Беринговский	ru	63.0326273599,179.305377521	9799099
	Биллингс	Биллингс	ru	69.8755319444,175.724647531	9800975
	Бургахчан	Бургахчан	ru	66.286059081,164.735213303	9800986
	Ваеги	Ваеги	ru	64.165278,171.043056	9800972
